field_id,pixel_index,ndvi_value,x_offset,y_offset
OSM_1428284928,0,0.8500000000000001,0.3,0.34
OSM_1428284928,1,0.5700000000000001,0.27,0.78
OSM_1428284928,2,0.73,0.83,0.19
OSM_1428284928,3,0.67,0.62,0.07
OSM_1428284928,4,0.5700000000000001,0.77,0.81
OSM_1428284928,5,0.66,0.36,0.36
OSM_1428284928,6,0.67,0.87,0.43
OSM_1428284928,7,0.6000000000000001,0.4,0.35
OSM_1428284928,8,0.8700000000000001,0.22,0.33
OSM_1428284928,9,0.8300000000000001,0.48,0.08
OSM_998713335,0,0.68,0.83,0.24
OSM_998713335,1,0.7100000000000001,0.26,0.38
OSM_998713335,2,0.74,0.79,0.94
OSM_998713335,3,0.7100000000000001,0.36,0.33
OSM_998713335,4,0.6100000000000001,0.86,0.82
OSM_998713335,5,0.68,0.88,0.39
OSM_998713335,6,0.56,0.76,0.47
OSM_998713335,7,0.8,0.0,0.56
OSM_998713335,8,0.55,0.1,0.51
OSM_998713335,9,0.74,0.69,0.94
OSM_998706549,0,0.66,0.01,0.26
OSM_998706549,1,0.7000000000000001,0.4,0.04
OSM_998706549,2,0.8400000000000001,0.54,0.12
OSM_998706549,3,0.8800000000000001,0.18,0.45
OSM_998706549,4,0.5900000000000001,0.29,0.82
OSM_998706549,5,0.7100000000000001,0.46,0.28
OSM_998706549,6,0.8400000000000001,0.44,0.86
OSM_998706549,7,0.5800000000000001,0.18,0.12
OSM_998706549,8,0.8400000000000001,0.34,0.39
OSM_998706549,9,0.79,0.99,0.53
OSM_998713346,0,0.8600000000000001,0.31,0.98
OSM_998713346,1,0.74,0.09,0.53
OSM_998713346,2,0.63,0.68,0.01
OSM_998713346,3,0.77,0.47,0.96
OSM_998713346,4,0.5700000000000001,0.47,0.48
OSM_998713346,5,0.8600000000000001,0.01,0.88
OSM_998713346,6,0.74,0.94,0.07
OSM_998713346,7,0.56,0.41,0.25
OSM_998713346,8,0.56,0.56,0.17
OSM_998713346,9,0.8600000000000001,0.56,0.58
OSM_998706547,0,0.6000000000000001,0.4,0.45
OSM_998706547,1,0.8600000000000001,0.46,0.56
OSM_998706547,2,0.7200000000000001,0.12,0.21
OSM_998706547,3,0.8300000000000001,0.08,0.25
OSM_998706547,4,0.7200000000000001,0.77,0.64
OSM_998706547,5,0.8600000000000001,0.91,0.66
OSM_998706547,6,0.7200000000000001,0.77,0.23
OSM_998706547,7,0.5900000000000001,0.59,0.66
OSM_998706547,8,0.64,0.19,0.3
OSM_998706547,9,0.68,0.73,0.24
OSM_998706550,0,0.77,0.97,0.46
OSM_998706550,1,0.73,0.98,0.17
OSM_998706550,2,0.75,0.65,0.43
OSM_998706550,3,0.8,0.9,0.39
OSM_998706550,4,0.68,0.13,0.78
OSM_998706550,5,0.67,0.67,0.15
OSM_998706550,6,0.8200000000000001,0.37,0.87
OSM_998706550,7,0.65,0.7,0.18
OSM_998706550,8,0.8,0.45,0.55
OSM_998706550,9,0.79,0.94,0.35
OSM_1434730614,0,0.76,0.71,0.12
OSM_1434730614,1,0.81,0.61,0.46
OSM_1434730614,2,0.8600000000000001,0.36,0.11
OSM_1434730614,3,0.73,0.33,0.41
OSM_1434730614,4,0.8900000000000001,0.49,0.42
OSM_1434730614,5,0.5700000000000001,0.72,0.64
OSM_1434730614,6,0.76,0.96,0.67
OSM_1434730614,7,0.8300000000000001,0.93,0.25
OSM_1434730614,8,0.55,0.6,0.57
OSM_1434730614,9,0.8400000000000001,0.44,0.44
OSM_998713337,0,0.8400000000000001,0.09,0.01
OSM_998713337,1,0.67,0.97,0.18
OSM_998713337,2,0.8200000000000001,0.22,0.14
OSM_998713337,3,0.5900000000000001,0.99,0.01
OSM_998713337,4,0.8,0.8,0.59
OSM_998713337,5,0.77,0.42,0.66
OSM_998713337,6,0.5900000000000001,0.84,0.76
OSM_998713337,7,0.6100000000000001,0.01,0.73
OSM_998713337,8,0.8,0.0,0.68
OSM_998713337,9,0.8800000000000001,0.58,0.71
OSM_1434730620,0,0.5800000000000001,0.63,0.97
OSM_1434730620,1,0.8400000000000001,0.19,0.75
OSM_1434730620,2,0.8300000000000001,0.43,0.99
OSM_1434730620,3,0.79,0.19,0.1
OSM_1434730620,4,0.5900000000000001,0.84,0.71
OSM_1434730620,5,0.74,0.29,0.5
OSM_1434730620,6,0.8600000000000001,0.06,0.08
OSM_1434730620,7,0.7100000000000001,0.56,0.34
OSM_1434730620,8,0.8900000000000001,0.49,0.31
OSM_1434730620,9,0.8600000000000001,0.06,0.07
OSM_998701371,0,0.75,0.4,0.58
OSM_998701371,1,0.68,0.28,0.37
OSM_998701371,2,0.8900000000000001,0.59,0.5
OSM_998701371,3,0.76,0.21,0.15
OSM_998701371,4,0.7200000000000001,0.52,0.49
OSM_998701371,5,0.77,0.87,0.66
OSM_998701371,6,0.73,0.43,0.18
OSM_998701371,7,0.5900000000000001,0.04,0.47
OSM_998701371,8,0.56,0.86,0.63
OSM_998701371,9,0.77,0.52,0.38
